date,fatality_rate,med_fatal,med_injury,med_no_injury,not-head-on,head-on,year,month,summer_ind
2010-02-01,0.013789968176996514,62.0,82.0,38.0,69.0,113.0,2010,2,0
2010-03-01,0.015572768039135753,73.0,73.0,45.0,37.0,154.0,2010,3,0
2010-04-01,0.012490869247626005,71.0,75.0,25.0,35.0,136.0,2010,4,0
2010-05-01,0.01562881562881563,103.0,110.0,43.0,76.0,180.0,2010,5,0
2010-06-01,0.013426183844011142,104.0,92.0,45.0,50.0,191.0,2010,6,1
2010-07-01,0.0177479248580166,128.0,130.0,67.0,78.0,247.0,2010,7,1
2010-08-01,0.015659100829332168,118.0,114.0,55.0,49.0,238.0,2010,8,1
2010-09-01,0.013689542877819321,99.0,84.0,44.0,32.0,195.0,2010,9,0
2010-10-01,0.01897632311977716,131.0,130.0,66.0,100.0,227.0,2010,10,0
2010-11-01,0.015204170286707211,103.0,94.0,48.0,90.0,155.0,2010,11,0
2010-12-01,0.014542765590337688,84.0,115.0,37.0,96.0,140.0,2010,12,0
2011-01-01,0.012995326803661738,58.0,73.0,72.0,74.0,129.0,2011,1,0
2011-02-01,0.010871897575280738,58.0,64.0,30.0,54.0,98.0,2011,2,0
2011-03-01,0.015036428460703766,65.0,67.0,62.0,53.0,141.0,2011,3,0
2011-04-01,0.013486346121628414,62.0,73.0,26.0,43.0,118.0,2011,4,0
2011-05-01,0.011794730307628638,81.0,66.0,24.0,52.0,119.0,2011,5,0
2011-06-01,0.016091245376078915,97.0,115.0,49.0,72.0,189.0,2011,6,1
2011-07-01,0.01894923258559622,124.0,130.0,67.0,87.0,234.0,2011,7,1
2011-08-01,0.014791336502905442,92.0,110.0,50.0,67.0,185.0,2011,8,1
2011-09-01,0.015252679938744258,109.0,86.0,54.0,69.0,180.0,2011,9,0
2011-10-01,0.015766725512875144,97.0,89.0,73.0,47.0,212.0,2011,10,0
2011-11-01,0.01605216955104088,78.0,80.0,98.0,74.0,182.0,2011,11,0
2011-12-01,0.015364061456245824,89.0,112.0,52.0,110.0,143.0,2011,12,0
2012-01-01,0.013332440037518425,68.0,76.0,55.0,64.0,135.0,2012,1,0
2012-02-01,0.013518983242936938,84.0,65.0,18.0,69.0,98.0,2012,2,0
2012-03-01,0.021487732458196594,76.0,136.0,63.0,54.0,221.0,2012,3,0
2012-04-01,0.012451113416872855,72.0,55.0,29.0,39.0,117.0,2012,4,0
2012-05-01,0.012938040439503284,83.0,71.0,45.0,36.0,163.0,2012,5,0
2012-06-01,0.012574053923346633,95.0,74.0,39.0,45.0,163.0,2012,6,1
2012-07-01,0.016542695626301698,108.0,105.0,65.0,88.0,190.0,2012,7,1
2012-08-01,0.01766805124904932,120.0,125.0,57.0,90.0,212.0,2012,8,1
2012-09-01,0.013367672308069659,93.0,66.0,59.0,50.0,168.0,2012,9,0
